Designator,Mid X,Mid Y,Rotation,Layer
BT1,90.5,-135.0,120.0,bottom
C1,116.5,-131.5,0.0,bottom
C2,116.5,-135.0,180.0,bottom
C22,106.0,-125.4325,90.0,bottom
C23,104.25,-125.4325,90.0,bottom
C24,102.5,-125.4325,90.0,bottom
C38,74.775,-146.5,0.0,bottom
C40,74.775,-149.01,0.0,bottom
C42,109.98,-150.0,180.0,bottom
C43,74.775,-151.52,0.0,bottom
D1,62.5,-140.0,90.0,top
D2,76.0,-139.5,90.0,top
D3,89.5,-139.5,90.0,top
D4,103.4,-139.5,90.0,top
D5,166.0,-145.5,90.0,top
D6,123.0,-140.0,90.0,top
D7,139.0,-141.0,90.0,top
D8,152.5,-143.5,90.0,top
H1,73.0,-127.5,16.0,top
R1,104.5,-157.5,176.0,bottom
SW1,141.0,-132.0,195.0,bottom
U1,125.0,-150.5,90.0,bottom
U2,111.5,-143.0,270.0,bottom
U3,171.5,-147.0,0.0,bottom
U7,102.8625,-147.5,180.0,bottom
